timestamp,extrx.AltHold,extrx.Arm,extrx.thrust,extrx.roll,extrx.pitch,extrx.yawRate,extrx.zVel
127490,0,0,0.0,0.0,0.0,0.0,0.0
127590,0,0,0.0,0.0,0.0,0.0,0.0
127690,0,0,0.0,0.0,0.0,0.0,0.0
127790,0,0,0.0,0.0,0.0,0.0,0.0
127890,0,0,0.0,0.0,0.0,0.0,0.0
127990,0,0,0.0,0.0,0.0,0.0,0.0
128090,0,0,0.0,0.0,0.0,0.0,0.0
128190,0,0,0.0,0.0,0.0,0.0,0.0
128290,0,0,0.0,0.0,0.0,0.0,0.0
128390,0,0,0.0,0.0,0.0,0.0,0.0
128490,0,0,0.0,0.0,0.0,0.0,0.0
128590,0,0,0.0,0.0,0.0,0.0,0.0
128690,0,0,0.0,0.0,0.0,0.0,0.0
128790,0,0,0.0,0.0,0.0,0.0,0.0
128890,0,0,0.0,0.0,0.0,0.0,0.0
128990,0,0,0.0,0.0,0.0,0.0,0.0
129090,0,0,0.0,0.0,0.0,0.0,0.0
129190,0,0,0.0,0.0,0.0,0.0,0.0
129290,0,0,0.0,0.0,0.0,0.0,0.0
129390,0,0,0.0,0.0,0.0,0.0,0.0
129493,0,0,0.0,0.0,0.0,0.0,0.0
129593,0,0,0.0,0.0,0.0,0.0,0.0
129693,0,0,0.0,0.0,0.0,0.0,0.0
129792,0,0,0.0,0.0,0.0,0.0,0.0
129890,0,0,0.0,0.0,0.0,0.0,0.0
129992,0,0,0.0,0.0,0.0,0.0,0.0
130092,0,0,0.0,0.0,0.0,0.0,0.0
130192,0,0,0.0,0.0,0.0,0.0,0.0
130292,0,0,0.0,0.0,0.0,0.0,0.0
130392,0,0,0.0,0.0,0.0,0.0,0.0
130492,0,0,0.0,0.0,0.0,0.0,0.0
130592,0,0,0.0,0.0,0.0,0.0,0.0
130690,0,0,0.0,0.0,0.0,0.0,0.0
130790,0,0,0.0,0.0,0.0,0.0,0.0
130890,0,0,0.0,0.0,0.0,0.0,0.0
130990,0,0,0.0,0.0,0.0,0.0,0.0
131090,0,0,0.0,0.0,0.0,0.0,0.0
131193,0,0,0.0,0.0,0.0,0.0,0.0
131292,0,0,0.0,0.0,0.0,0.0,0.0
131392,0,0,0.0,0.0,0.0,0.0,0.0
131490,0,0,0.0,0.0,0.0,0.0,0.0
131590,0,0,0.0,0.0,0.0,0.0,0.0
131690,0,0,0.0,0.0,0.0,0.0,0.0
131790,0,0,0.0,0.0,0.0,0.0,0.0
131890,0,0,0.0,0.0,0.0,0.0,0.0
131990,0,0,0.0,0.0,0.0,0.0,0.0
132090,0,0,0.0,0.0,0.0,0.0,0.0
132190,0,0,0.0,0.0,0.0,0.0,0.0
132290,0,0,0.0,0.0,0.0,0.0,0.0
132390,0,0,0.0,0.0,0.0,0.0,0.0
132490,0,0,0.0,0.0,0.0,0.0,0.0
132590,0,0,0.0,0.0,0.0,0.0,0.0
132690,0,0,0.0,0.0,0.0,0.0,0.0
132790,0,0,0.0,0.0,0.0,0.0,0.0
132890,0,0,0.0,0.0,0.0,0.0,0.0
132990,0,0,0.0,0.0,0.0,0.0,0.0
133090,0,0,0.0,0.0,0.0,0.0,0.0
133190,0,0,0.0,0.0,0.0,0.0,0.0
133290,0,0,0.0,0.0,0.0,0.0,0.0
133390,0,0,0.0,0.0,0.0,0.0,0.0
133490,0,0,0.0,0.0,0.0,0.0,0.0
133590,0,0,0.0,0.0,0.0,0.0,0.0
133690,0,0,0.0,0.0,0.0,0.0,0.0
133790,0,0,0.0,0.0,0.0,0.0,0.0
133890,0,0,0.0,0.0,0.0,0.0,0.0
133990,0,0,0.0,0.0,0.0,0.0,0.0
134090,0,0,0.0,0.0,0.0,0.0,0.0
134190,0,0,0.0,0.0,0.0,0.0,0.0
134290,0,0,0.0,0.0,0.0,0.0,0.0
134390,0,0,0.0,0.0,0.0,0.0,0.0
134490,0,0,0.0,0.0,0.0,0.0,0.0
134590,0,0,0.0,0.0,0.0,0.0,0.0
134690,0,0,0.0,0.0,0.0,0.0,0.0
134790,0,0,0.0,0.0,0.0,0.0,0.0
134890,0,0,0.0,0.0,0.0,0.0,0.0
