timestamp,ctrlMel.r_yaw,ctrlMel.accelz,ctrlMel.zdx,ctrlMel.zdy,ctrlMel.zdz,ctrlMel.i_err_x
99962,0.0,0.0,0.0,0.0,0.0,0.0
100062,0.0,0.0,0.0,0.0,0.0,0.0
100162,0.0,0.0,0.0,0.0,0.0,0.0
100262,0.0,0.0,0.0,0.0,0.0,0.0
100362,0.0,0.0,0.0,0.0,0.0,0.0
100462,0.0,0.0,0.0,0.0,0.0,0.0
100562,0.0,0.0,0.0,0.0,0.0,0.0
100665,0.0,0.0,0.0,0.0,0.0,0.0
100764,0.0,0.0,0.0,0.0,0.0,0.0
100865,0.0,0.0,0.0,0.0,0.0,0.0
100965,0.0,0.0,0.0,0.0,0.0,0.0
101065,0.0,0.0,0.0,0.0,0.0,0.0
101164,0.0,0.0,0.0,0.0,0.0,0.0
101264,0.0,0.0,0.0,0.0,0.0,0.0
101364,0.0,0.0,0.0,0.0,0.0,0.0
101463,0.0,0.0,0.0,0.0,0.0,0.0
101563,0.0,0.0,0.0,0.0,0.0,0.0
101663,0.0,0.0,0.0,0.0,0.0,0.0
101763,0.0,0.0,0.0,0.0,0.0,0.0
101863,0.0,0.0,0.0,0.0,0.0,0.0
101963,0.0,0.0,0.0,0.0,0.0,0.0
102063,0.0,0.0,0.0,0.0,0.0,0.0
102162,0.0,0.0,0.0,0.0,0.0,0.0
102264,0.0,0.0,0.0,0.0,0.0,0.0
102362,0.0,0.0,0.0,0.0,0.0,0.0
102462,0.0,0.0,0.0,0.0,0.0,0.0
102565,0.0,0.0,0.0,0.0,0.0,0.0
102664,0.0,0.0,0.0,0.0,0.0,0.0
102764,0.0,0.0,0.0,0.0,0.0,0.0
102864,0.0,0.0,0.0,0.0,0.0,0.0
102963,0.0,0.0,0.0,0.0,0.0,0.0
103062,0.0,0.0,0.0,0.0,0.0,0.0
103163,0.0,0.0,0.0,0.0,0.0,0.0
103263,0.0,0.0,0.0,0.0,0.0,0.0
103362,0.0,0.0,0.0,0.0,0.0,0.0
103462,0.0,0.0,0.0,0.0,0.0,0.0
103562,0.0,0.0,0.0,0.0,0.0,0.0
103662,0.0,0.0,0.0,0.0,0.0,0.0
103762,0.0,0.0,0.0,0.0,0.0,0.0
103862,0.0,0.0,0.0,0.0,0.0,0.0
103962,0.0,0.0,0.0,0.0,0.0,0.0
104062,0.0,0.0,0.0,0.0,0.0,0.0
104162,0.0,0.0,0.0,0.0,0.0,0.0
104262,0.0,0.0,0.0,0.0,0.0,0.0
104362,0.0,0.0,0.0,0.0,0.0,0.0
104462,0.0,0.0,0.0,0.0,0.0,0.0
104562,0.0,0.0,0.0,0.0,0.0,0.0
104662,0.0,0.0,0.0,0.0,0.0,0.0
104762,0.0,0.0,0.0,0.0,0.0,0.0
104862,0.0,0.0,0.0,0.0,0.0,0.0
104962,0.0,0.0,0.0,0.0,0.0,0.0
105062,0.0,0.0,0.0,0.0,0.0,0.0
105162,0.0,0.0,0.0,0.0,0.0,0.0
105262,0.0,0.0,0.0,0.0,0.0,0.0
105362,0.0,0.0,0.0,0.0,0.0,0.0
105462,0.0,0.0,0.0,0.0,0.0,0.0
105562,0.0,0.0,0.0,0.0,0.0,0.0
105662,0.0,0.0,0.0,0.0,0.0,0.0
105762,0.0,0.0,0.0,0.0,0.0,0.0
105862,0.0,0.0,0.0,0.0,0.0,0.0
105962,0.0,0.0,0.0,0.0,0.0,0.0
106062,0.0,0.0,0.0,0.0,0.0,0.0
106162,0.0,0.0,0.0,0.0,0.0,0.0
106262,0.0,0.0,0.0,0.0,0.0,0.0
106362,0.0,0.0,0.0,0.0,0.0,0.0
106462,0.0,0.0,0.0,0.0,0.0,0.0
106562,0.0,0.0,0.0,0.0,0.0,0.0
106662,0.0,0.0,0.0,0.0,0.0,0.0
106762,0.0,0.0,0.0,0.0,0.0,0.0
106862,0.0,0.0,0.0,0.0,0.0,0.0
106962,0.0,0.0,0.0,0.0,0.0,0.0
107062,0.0,0.0,0.0,0.0,0.0,0.0
107165,0.0,0.0,0.0,0.0,0.0,0.0
107262,0.0,0.0,0.0,0.0,0.0,0.0
107362,0.0,0.0,0.0,0.0,0.0,0.0
107464,0.0,0.0,0.0,0.0,0.0,0.0
107564,0.0,0.0,0.0,0.0,0.0,0.0
107664,0.0,0.0,0.0,0.0,0.0,0.0
107764,0.0,0.0,0.0,0.0,0.0,0.0
107864,0.0,0.0,0.0,0.0,0.0,0.0
107964,0.0,0.0,0.0,0.0,0.0,0.0
108064,0.0,0.0,0.0,0.0,0.0,0.0
108164,0.0,0.0,0.0,0.0,0.0,0.0
108264,0.0,0.0,0.0,0.0,0.0,0.0
108364,0.0,0.0,0.0,0.0,0.0,0.0
108463,0.0,0.0,0.0,0.0,0.0,0.0
108563,0.0,0.0,0.0,0.0,0.0,0.0
108663,0.0,0.0,0.0,0.0,0.0,0.0
108762,0.0,0.0,0.0,0.0,0.0,0.0
108862,0.0,0.0,0.0,0.0,0.0,0.0
108962,0.0,0.0,0.0,0.0,0.0,0.0
109062,0.0,0.0,0.0,0.0,0.0,0.0
109162,0.0,0.0,0.0,0.0,0.0,0.0
109262,0.0,0.0,0.0,0.0,0.0,0.0
109362,0.0,0.0,0.0,0.0,0.0,0.0
109462,0.0,0.0,0.0,0.0,0.0,0.0
109562,0.0,0.0,0.0,0.0,0.0,0.0
109662,0.0,0.0,0.0,0.0,0.0,0.0
109762,0.0,0.0,0.0,0.0,0.0,0.0
109862,0.0,0.0,0.0,0.0,0.0,0.0
109962,0.0,0.0,0.0,0.0,0.0,0.0
110062,0.0,0.0,0.0,0.0,0.0,0.0
110162,0.0,0.0,0.0,0.0,0.0,0.0
110262,0.0,0.0,0.0,0.0,0.0,0.0
110362,0.0,0.0,0.0,0.0,0.0,0.0
110462,0.0,0.0,0.0,0.0,0.0,0.0
110562,0.0,0.0,0.0,0.0,0.0,0.0
110662,0.0,0.0,0.0,0.0,0.0,0.0
110762,0.0,0.0,0.0,0.0,0.0,0.0
110862,0.0,0.0,0.0,0.0,0.0,0.0
110962,0.0,0.0,0.0,0.0,0.0,0.0
111062,0.0,0.0,0.0,0.0,0.0,0.0
111162,0.0,0.0,0.0,0.0,0.0,0.0
111262,0.0,0.0,0.0,0.0,0.0,0.0
111362,0.0,0.0,0.0,0.0,0.0,0.0
111462,0.0,0.0,0.0,0.0,0.0,0.0
111562,0.0,0.0,0.0,0.0,0.0,0.0
111662,0.0,0.0,0.0,0.0,0.0,0.0
111762,0.0,0.0,0.0,0.0,0.0,0.0
111862,0.0,0.0,0.0,0.0,0.0,0.0
