timestamp,posEstAlt.estimatedZ,posEstAlt.estVZ,posEstAlt.velocityZ
181983,0.0,0.0,0.0
182083,0.0,0.0,0.0
182183,0.0,0.0,0.0
182283,0.0,0.0,0.0
182383,0.0,0.0,0.0
182483,0.0,0.0,0.0
182583,0.0,0.0,0.0
182683,0.0,0.0,0.0
182783,0.0,0.0,0.0
182883,0.0,0.0,0.0
182983,0.0,0.0,0.0
183083,0.0,0.0,0.0
183183,0.0,0.0,0.0
183283,0.0,0.0,0.0
183384,0.0,0.0,0.0
183483,0.0,0.0,0.0
183583,0.0,0.0,0.0
183683,0.0,0.0,0.0
183783,0.0,0.0,0.0
183883,0.0,0.0,0.0
183983,0.0,0.0,0.0
184083,0.0,0.0,0.0
184183,0.0,0.0,0.0
184283,0.0,0.0,0.0
184383,0.0,0.0,0.0
184483,0.0,0.0,0.0
184583,0.0,0.0,0.0
184683,0.0,0.0,0.0
184783,0.0,0.0,0.0
184883,0.0,0.0,0.0
184983,0.0,0.0,0.0
185083,0.0,0.0,0.0
185183,0.0,0.0,0.0
185283,0.0,0.0,0.0
185383,0.0,0.0,0.0
185483,0.0,0.0,0.0
185583,0.0,0.0,0.0
185683,0.0,0.0,0.0
185783,0.0,0.0,0.0
185883,0.0,0.0,0.0
185983,0.0,0.0,0.0
186083,0.0,0.0,0.0
186183,0.0,0.0,0.0
186283,0.0,0.0,0.0
186383,0.0,0.0,0.0
186483,0.0,0.0,0.0
186583,0.0,0.0,0.0
186683,0.0,0.0,0.0
186783,0.0,0.0,0.0
186883,0.0,0.0,0.0
186983,0.0,0.0,0.0
187083,0.0,0.0,0.0
187184,0.0,0.0,0.0
187283,0.0,0.0,0.0
187383,0.0,0.0,0.0
187485,0.0,0.0,0.0
187585,0.0,0.0,0.0
187685,0.0,0.0,0.0
187785,0.0,0.0,0.0
187885,0.0,0.0,0.0
187985,0.0,0.0,0.0
188085,0.0,0.0,0.0
188184,0.0,0.0,0.0
188283,0.0,0.0,0.0
188383,0.0,0.0,0.0
188483,0.0,0.0,0.0
188583,0.0,0.0,0.0
188683,0.0,0.0,0.0
188783,0.0,0.0,0.0
188883,0.0,0.0,0.0
188983,0.0,0.0,0.0
189083,0.0,0.0,0.0
189183,0.0,0.0,0.0
189283,0.0,0.0,0.0
189385,0.0,0.0,0.0
189485,0.0,0.0,0.0
189585,0.0,0.0,0.0
189685,0.0,0.0,0.0
189784,0.0,0.0,0.0
189884,0.0,0.0,0.0
189984,0.0,0.0,0.0
190084,0.0,0.0,0.0
190185,0.0,0.0,0.0
190285,0.0,0.0,0.0
190383,0.0,0.0,0.0
190483,0.0,0.0,0.0
190583,0.0,0.0,0.0
190684,0.0,0.0,0.0
190784,0.0,0.0,0.0
190883,0.0,0.0,0.0
190984,0.0,0.0,0.0
191084,0.0,0.0,0.0
191183,0.0,0.0,0.0
191283,0.0,0.0,0.0
191383,0.0,0.0,0.0
191483,0.0,0.0,0.0
191583,0.0,0.0,0.0
191683,0.0,0.0,0.0
191783,0.0,0.0,0.0
191908,0.0,0.0,0.0
191983,0.0,0.0,0.0
192083,0.0,0.0,0.0
192183,0.0,0.0,0.0
192283,0.0,0.0,0.0
192383,0.0,0.0,0.0
192483,0.0,0.0,0.0
192583,0.0,0.0,0.0
192683,0.0,0.0,0.0
192783,0.0,0.0,0.0
192883,0.0,0.0,0.0
192983,0.0,0.0,0.0
193083,0.0,0.0,0.0
193183,0.0,0.0,0.0
193283,0.0,0.0,0.0
193383,0.0,0.0,0.0
193483,0.0,0.0,0.0
193583,0.0,0.0,0.0
193683,0.0,0.0,0.0
193783,0.0,0.0,0.0
193883,0.0,0.0,0.0
193983,0.0,0.0,0.0
194083,0.0,0.0,0.0
194183,0.0,0.0,0.0
194283,0.0,0.0,0.0
194383,0.0,0.0,0.0
194483,0.0,0.0,0.0
194583,0.0,0.0,0.0
194683,0.0,0.0,0.0
194783,0.0,0.0,0.0
194883,0.0,0.0,0.0
194983,0.0,0.0,0.0
195083,0.0,0.0,0.0
195186,0.0,0.0,0.0
195285,0.0,0.0,0.0
195385,0.0,0.0,0.0
195485,0.0,0.0,0.0
195585,0.0,0.0,0.0
195684,0.0,0.0,0.0
195784,0.0,0.0,0.0
195884,0.0,0.0,0.0
195984,0.0,0.0,0.0
196084,0.0,0.0,0.0
196184,0.0,0.0,0.0
196283,0.0,0.0,0.0
196383,0.0,0.0,0.0
196483,0.0,0.0,0.0
196583,0.0,0.0,0.0
196683,0.0,0.0,0.0
196783,0.0,0.0,0.0
196883,0.0,0.0,0.0
196983,0.0,0.0,0.0
197083,0.0,0.0,0.0
197183,0.0,0.0,0.0
197283,0.0,0.0,0.0
197383,0.0,0.0,0.0
197483,0.0,0.0,0.0
197583,0.0,0.0,0.0
197683,0.0,0.0,0.0
197783,0.0,0.0,0.0
197883,0.0,0.0,0.0
197984,0.0,0.0,0.0
198084,0.0,0.0,0.0
198183,0.0,0.0,0.0
198283,0.0,0.0,0.0
198383,0.0,0.0,0.0
198483,0.0,0.0,0.0
198583,0.0,0.0,0.0
198683,0.0,0.0,0.0
198783,0.0,0.0,0.0
198883,0.0,0.0,0.0
198983,0.0,0.0,0.0
199083,0.0,0.0,0.0
199183,0.0,0.0,0.0
199283,0.0,0.0,0.0
199383,0.0,0.0,0.0
199483,0.0,0.0,0.0
199583,0.0,0.0,0.0
199683,0.0,0.0,0.0
199783,0.0,0.0,0.0
199883,0.0,0.0,0.0
199983,0.0,0.0,0.0
200083,0.0,0.0,0.0
200183,0.0,0.0,0.0
200283,0.0,0.0,0.0
200383,0.0,0.0,0.0
200483,0.0,0.0,0.0
200583,0.0,0.0,0.0
200683,0.0,0.0,0.0
200783,0.0,0.0,0.0
200883,0.0,0.0,0.0
200983,0.0,0.0,0.0
201083,0.0,0.0,0.0
201183,0.0,0.0,0.0
201283,0.0,0.0,0.0
201383,0.0,0.0,0.0
201483,0.0,0.0,0.0
201583,0.0,0.0,0.0
201683,0.0,0.0,0.0
201783,0.0,0.0,0.0
201883,0.0,0.0,0.0
201983,0.0,0.0,0.0
202083,0.0,0.0,0.0
202183,0.0,0.0,0.0
202283,0.0,0.0,0.0
202383,0.0,0.0,0.0
202483,0.0,0.0,0.0
202583,0.0,0.0,0.0
202683,0.0,0.0,0.0
202783,0.0,0.0,0.0
202883,0.0,0.0,0.0
202983,0.0,0.0,0.0
203083,0.0,0.0,0.0
203183,0.0,0.0,0.0
203283,0.0,0.0,0.0
203383,0.0,0.0,0.0
203483,0.0,0.0,0.0
203583,0.0,0.0,0.0
