timestamp,activeMarker.btSns,activeMarker.i2cOk
99930,0,0
100030,0,0
100130,0,0
100230,0,0
100330,0,0
100430,0,0
100530,0,0
100630,0,0
100730,0,0
100830,0,0
100930,0,0
101030,0,0
101130,0,0
101230,0,0
101330,0,0
101430,0,0
101530,0,0
101630,0,0
101730,0,0
101830,0,0
101930,0,0
102030,0,0
102130,0,0
102230,0,0
102330,0,0
102430,0,0
102530,0,0
102630,0,0
102730,0,0
102830,0,0
102930,0,0
103030,0,0
103130,0,0
103230,0,0
103330,0,0
103430,0,0
103530,0,0
103630,0,0
103730,0,0
103830,0,0
103930,0,0
104030,0,0
104130,0,0
104230,0,0
104330,0,0
104430,0,0
104530,0,0
104630,0,0
104734,0,0
104830,0,0
104933,0,0
105033,0,0
105132,0,0
105232,0,0
105333,0,0
105430,0,0
105530,0,0
105630,0,0
105730,0,0
105830,0,0
105930,0,0
106030,0,0
106130,0,0
106230,0,0
106330,0,0
106430,0,0
106530,0,0
106630,0,0
106730,0,0
106830,0,0
106930,0,0
107030,0,0
107130,0,0
107230,0,0
107330,0,0
107430,0,0
107530,0,0
107630,0,0
107733,0,0
107833,0,0
107932,0,0
108032,0,0
108132,0,0
108232,0,0
108332,0,0
108432,0,0
108532,0,0
108632,0,0
108732,0,0
108832,0,0
108932,0,0
109032,0,0
109132,0,0
109232,0,0
109331,0,0
109432,0,0
109531,0,0
109631,0,0
109732,0,0
109831,0,0
109931,0,0
110031,0,0
110130,0,0
110232,0,0
110330,0,0
110430,0,0
110532,0,0
110630,0,0
110730,0,0
110830,0,0
110930,0,0
111030,0,0
111130,0,0
111230,0,0
111330,0,0
111430,0,0
111530,0,0
111630,0,0
111730,0,0
111830,0,0
111930,0,0
112030,0,0
112130,0,0
112230,0,0
112330,0,0
112430,0,0
112530,0,0
112630,0,0
112730,0,0
112830,0,0
112930,0,0
113030,0,0
113130,0,0
113230,0,0
113330,0,0
113430,0,0
113530,0,0
113630,0,0
113730,0,0
113830,0,0
113930,0,0
114030,0,0
114130,0,0
114230,0,0
114330,0,0
114430,0,0
114530,0,0
114630,0,0
114730,0,0
114830,0,0
114930,0,0
115030,0,0
115130,0,0
115230,0,0
115330,0,0
115430,0,0
115533,0,0
115633,0,0
115733,0,0
115833,0,0
115930,0,0
116030,0,0
116132,0,0
116230,0,0
116330,0,0
116433,0,0
116530,0,0
116630,0,0
116730,0,0
116830,0,0
116930,0,0
117030,0,0
117130,0,0
117230,0,0
117330,0,0
117430,0,0
117530,0,0
117630,0,0
117730,0,0
117830,0,0
117930,0,0
118030,0,0
118130,0,0
118230,0,0
118330,0,0
118430,0,0
118530,0,0
118630,0,0
118730,0,0
118830,0,0
118930,0,0
119030,0,0
119130,0,0
119230,0,0
119330,0,0
119430,0,0
119530,0,0
119630,0,0
119730,0,0
119830,0,0
119930,0,0
120030,0,0
120130,0,0
120230,0,0
120330,0,0
120430,0,0
120530,0,0
120630,0,0
120730,0,0
120830,0,0
120930,0,0
121030,0,0
121130,0,0
121230,0,0
121330,0,0
121430,0,0
121530,0,0
