timestamp,usd.spiWrBps,usd.spiReBps,usd.fatWrBps
210785,0.0,0.0,0.0
210885,0.0,0.0,0.0
210985,0.0,0.0,0.0
211085,0.0,0.0,0.0
211185,0.0,0.0,0.0
211285,0.0,0.0,0.0
211385,0.0,0.0,0.0
211487,0.0,0.0,0.0
211585,0.0,0.0,0.0
211685,0.0,0.0,0.0
211785,0.0,0.0,0.0
211885,0.0,0.0,0.0
211986,0.0,0.0,0.0
212086,0.0,0.0,0.0
212185,0.0,0.0,0.0
212286,0.0,0.0,0.0
212385,0.0,0.0,0.0
212485,0.0,0.0,0.0
212585,0.0,0.0,0.0
212685,0.0,0.0,0.0
212785,0.0,0.0,0.0
212885,0.0,0.0,0.0
212985,0.0,0.0,0.0
213085,0.0,0.0,0.0
213185,0.0,0.0,0.0
213285,0.0,0.0,0.0
213385,0.0,0.0,0.0
213485,0.0,0.0,0.0
213585,0.0,0.0,0.0
213685,0.0,0.0,0.0
213785,0.0,0.0,0.0
213885,0.0,0.0,0.0
213985,0.0,0.0,0.0
214085,0.0,0.0,0.0
214185,0.0,0.0,0.0
214285,0.0,0.0,0.0
214385,0.0,0.0,0.0
214485,0.0,0.0,0.0
214585,0.0,0.0,0.0
214685,0.0,0.0,0.0
214785,0.0,0.0,0.0
214885,0.0,0.0,0.0
214985,0.0,0.0,0.0
215085,0.0,0.0,0.0
215185,0.0,0.0,0.0
215285,0.0,0.0,0.0
215385,0.0,0.0,0.0
215485,0.0,0.0,0.0
215585,0.0,0.0,0.0
215685,0.0,0.0,0.0
215785,0.0,0.0,0.0
215885,0.0,0.0,0.0
215988,0.0,0.0,0.0
216085,0.0,0.0,0.0
216187,0.0,0.0,0.0
216287,0.0,0.0,0.0
216387,0.0,0.0,0.0
216487,0.0,0.0,0.0
216587,0.0,0.0,0.0
216687,0.0,0.0,0.0
216787,0.0,0.0,0.0
216885,0.0,0.0,0.0
216985,0.0,0.0,0.0
217085,0.0,0.0,0.0
217185,0.0,0.0,0.0
217286,0.0,0.0,0.0
217387,0.0,0.0,0.0
217487,0.0,0.0,0.0
217586,0.0,0.0,0.0
217686,0.0,0.0,0.0
217786,0.0,0.0,0.0
217886,0.0,0.0,0.0
217986,0.0,0.0,0.0
218086,0.0,0.0,0.0
218186,0.0,0.0,0.0
218286,0.0,0.0,0.0
218386,0.0,0.0,0.0
218486,0.0,0.0,0.0
218586,0.0,0.0,0.0
218686,0.0,0.0,0.0
218787,0.0,0.0,0.0
218885,0.0,0.0,0.0
218985,0.0,0.0,0.0
219085,0.0,0.0,0.0
219186,0.0,0.0,0.0
219286,0.0,0.0,0.0
219385,0.0,0.0,0.0
219485,0.0,0.0,0.0
219585,0.0,0.0,0.0
219685,0.0,0.0,0.0
219785,0.0,0.0,0.0
219885,0.0,0.0,0.0
219985,0.0,0.0,0.0
220085,0.0,0.0,0.0
220185,0.0,0.0,0.0
220285,0.0,0.0,0.0
220385,0.0,0.0,0.0
220485,0.0,0.0,0.0
220585,0.0,0.0,0.0
220685,0.0,0.0,0.0
220785,0.0,0.0,0.0
220885,0.0,0.0,0.0
220985,0.0,0.0,0.0
221085,0.0,0.0,0.0
221185,0.0,0.0,0.0
221285,0.0,0.0,0.0
221385,0.0,0.0,0.0
221485,0.0,0.0,0.0
221585,0.0,0.0,0.0
221687,0.0,0.0,0.0
221787,0.0,0.0,0.0
221885,0.0,0.0,0.0
221986,0.0,0.0,0.0
222086,0.0,0.0,0.0
222185,0.0,0.0,0.0
222285,0.0,0.0,0.0
222385,0.0,0.0,0.0
222485,0.0,0.0,0.0
222585,0.0,0.0,0.0
222685,0.0,0.0,0.0
222785,0.0,0.0,0.0
222885,0.0,0.0,0.0
222985,0.0,0.0,0.0
223085,0.0,0.0,0.0
223185,0.0,0.0,0.0
223285,0.0,0.0,0.0
223385,0.0,0.0,0.0
223485,0.0,0.0,0.0
223585,0.0,0.0,0.0
223685,0.0,0.0,0.0
223785,0.0,0.0,0.0
223885,0.0,0.0,0.0
223985,0.0,0.0,0.0
224085,0.0,0.0,0.0
224185,0.0,0.0,0.0
224285,0.0,0.0,0.0
224385,0.0,0.0,0.0
224485,0.0,0.0,0.0
224585,0.0,0.0,0.0
224685,0.0,0.0,0.0
224785,0.0,0.0,0.0
224885,0.0,0.0,0.0
224985,0.0,0.0,0.0
225085,0.0,0.0,0.0
225185,0.0,0.0,0.0
225285,0.0,0.0,0.0
225385,0.0,0.0,0.0
225485,0.0,0.0,0.0
225585,0.0,0.0,0.0
225685,0.0,0.0,0.0
225785,0.0,0.0,0.0
225885,0.0,0.0,0.0
225985,0.0,0.0,0.0
226085,0.0,0.0,0.0
226185,0.0,0.0,0.0
226285,0.0,0.0,0.0
226385,0.0,0.0,0.0
226485,0.0,0.0,0.0
226585,0.0,0.0,0.0
226685,0.0,0.0,0.0
226785,0.0,0.0,0.0
226885,0.0,0.0,0.0
226985,0.0,0.0,0.0
227085,0.0,0.0,0.0
227185,0.0,0.0,0.0
227285,0.0,0.0,0.0
227385,0.0,0.0,0.0
227485,0.0,0.0,0.0
227585,0.0,0.0,0.0
227685,0.0,0.0,0.0
227785,0.0,0.0,0.0
227885,0.0,0.0,0.0
227985,0.0,0.0,0.0
228085,0.0,0.0,0.0
228185,0.0,0.0,0.0
228285,0.0,0.0,0.0
228385,0.0,0.0,0.0
228485,0.0,0.0,0.0
228585,0.0,0.0,0.0
228685,0.0,0.0,0.0
228785,0.0,0.0,0.0
228885,0.0,0.0,0.0
228985,0.0,0.0,0.0
229085,0.0,0.0,0.0
229185,0.0,0.0,0.0
229285,0.0,0.0,0.0
229385,0.0,0.0,0.0
229485,0.0,0.0,0.0
229585,0.0,0.0,0.0
229685,0.0,0.0,0.0
229785,0.0,0.0,0.0
229885,0.0,0.0,0.0
229985,0.0,0.0,0.0
230085,0.0,0.0,0.0
230185,0.0,0.0,0.0
230285,0.0,0.0,0.0
230385,0.0,0.0,0.0
230485,0.0,0.0,0.0
230585,0.0,0.0,0.0
230685,0.0,0.0,0.0
230785,0.0,0.0,0.0
230885,0.0,0.0,0.0
230985,0.0,0.0,0.0
231085,0.0,0.0,0.0
231185,0.0,0.0,0.0
231285,0.0,0.0,0.0
231385,0.0,0.0,0.0
231485,0.0,0.0,0.0
231585,0.0,0.0,0.0
231685,0.0,0.0,0.0
231785,0.0,0.0,0.0
231885,0.0,0.0,0.0
231985,0.0,0.0,0.0
232085,0.0,0.0,0.0
232185,0.0,0.0,0.0
232285,0.0,0.0,0.0
232385,0.0,0.0,0.0
