timestamp,health.motorVarXM1,health.motorVarYM1,health.motorVarXM2,health.motorVarYM2,health.motorVarXM3,health.motorVarYM3
153860,0.0,0.0,0.0,0.0,0.0,0.0
153960,0.0,0.0,0.0,0.0,0.0,0.0
154060,0.0,0.0,0.0,0.0,0.0,0.0
154160,0.0,0.0,0.0,0.0,0.0,0.0
154260,0.0,0.0,0.0,0.0,0.0,0.0
154360,0.0,0.0,0.0,0.0,0.0,0.0
154460,0.0,0.0,0.0,0.0,0.0,0.0
154560,0.0,0.0,0.0,0.0,0.0,0.0
154660,0.0,0.0,0.0,0.0,0.0,0.0
154760,0.0,0.0,0.0,0.0,0.0,0.0
154860,0.0,0.0,0.0,0.0,0.0,0.0
154960,0.0,0.0,0.0,0.0,0.0,0.0
155060,0.0,0.0,0.0,0.0,0.0,0.0
155160,0.0,0.0,0.0,0.0,0.0,0.0
155260,0.0,0.0,0.0,0.0,0.0,0.0
155360,0.0,0.0,0.0,0.0,0.0,0.0
155460,0.0,0.0,0.0,0.0,0.0,0.0
155560,0.0,0.0,0.0,0.0,0.0,0.0
155660,0.0,0.0,0.0,0.0,0.0,0.0
155760,0.0,0.0,0.0,0.0,0.0,0.0
155860,0.0,0.0,0.0,0.0,0.0,0.0
155960,0.0,0.0,0.0,0.0,0.0,0.0
156060,0.0,0.0,0.0,0.0,0.0,0.0
156160,0.0,0.0,0.0,0.0,0.0,0.0
156260,0.0,0.0,0.0,0.0,0.0,0.0
156360,0.0,0.0,0.0,0.0,0.0,0.0
156460,0.0,0.0,0.0,0.0,0.0,0.0
156560,0.0,0.0,0.0,0.0,0.0,0.0
156660,0.0,0.0,0.0,0.0,0.0,0.0
156760,0.0,0.0,0.0,0.0,0.0,0.0
156860,0.0,0.0,0.0,0.0,0.0,0.0
156960,0.0,0.0,0.0,0.0,0.0,0.0
157060,0.0,0.0,0.0,0.0,0.0,0.0
157160,0.0,0.0,0.0,0.0,0.0,0.0
157260,0.0,0.0,0.0,0.0,0.0,0.0
157360,0.0,0.0,0.0,0.0,0.0,0.0
157460,0.0,0.0,0.0,0.0,0.0,0.0
157560,0.0,0.0,0.0,0.0,0.0,0.0
157660,0.0,0.0,0.0,0.0,0.0,0.0
157760,0.0,0.0,0.0,0.0,0.0,0.0
157860,0.0,0.0,0.0,0.0,0.0,0.0
157960,0.0,0.0,0.0,0.0,0.0,0.0
158060,0.0,0.0,0.0,0.0,0.0,0.0
158160,0.0,0.0,0.0,0.0,0.0,0.0
158260,0.0,0.0,0.0,0.0,0.0,0.0
158360,0.0,0.0,0.0,0.0,0.0,0.0
158460,0.0,0.0,0.0,0.0,0.0,0.0
158560,0.0,0.0,0.0,0.0,0.0,0.0
158660,0.0,0.0,0.0,0.0,0.0,0.0
158760,0.0,0.0,0.0,0.0,0.0,0.0
158863,0.0,0.0,0.0,0.0,0.0,0.0
158963,0.0,0.0,0.0,0.0,0.0,0.0
159062,0.0,0.0,0.0,0.0,0.0,0.0
159163,0.0,0.0,0.0,0.0,0.0,0.0
159261,0.0,0.0,0.0,0.0,0.0,0.0
159361,0.0,0.0,0.0,0.0,0.0,0.0
