timestamp,extrx.AltHold,extrx.Arm,extrx.thrust,extrx.roll,extrx.pitch,extrx.yawRate,extrx.zVel
153847,0,0,0.0,0.0,0.0,0.0,0.0
153947,0,0,0.0,0.0,0.0,0.0,0.0
154047,0,0,0.0,0.0,0.0,0.0,0.0
154147,0,0,0.0,0.0,0.0,0.0,0.0
154247,0,0,0.0,0.0,0.0,0.0,0.0
154347,0,0,0.0,0.0,0.0,0.0,0.0
154447,0,0,0.0,0.0,0.0,0.0,0.0
154547,0,0,0.0,0.0,0.0,0.0,0.0
154647,0,0,0.0,0.0,0.0,0.0,0.0
154747,0,0,0.0,0.0,0.0,0.0,0.0
154847,0,0,0.0,0.0,0.0,0.0,0.0
154947,0,0,0.0,0.0,0.0,0.0,0.0
155047,0,0,0.0,0.0,0.0,0.0,0.0
155147,0,0,0.0,0.0,0.0,0.0,0.0
155247,0,0,0.0,0.0,0.0,0.0,0.0
155347,0,0,0.0,0.0,0.0,0.0,0.0
155447,0,0,0.0,0.0,0.0,0.0,0.0
155547,0,0,0.0,0.0,0.0,0.0,0.0
155647,0,0,0.0,0.0,0.0,0.0,0.0
155747,0,0,0.0,0.0,0.0,0.0,0.0
155847,0,0,0.0,0.0,0.0,0.0,0.0
155947,0,0,0.0,0.0,0.0,0.0,0.0
156047,0,0,0.0,0.0,0.0,0.0,0.0
156147,0,0,0.0,0.0,0.0,0.0,0.0
156247,0,0,0.0,0.0,0.0,0.0,0.0
156347,0,0,0.0,0.0,0.0,0.0,0.0
156447,0,0,0.0,0.0,0.0,0.0,0.0
156547,0,0,0.0,0.0,0.0,0.0,0.0
156647,0,0,0.0,0.0,0.0,0.0,0.0
156747,0,0,0.0,0.0,0.0,0.0,0.0
156847,0,0,0.0,0.0,0.0,0.0,0.0
156947,0,0,0.0,0.0,0.0,0.0,0.0
157047,0,0,0.0,0.0,0.0,0.0,0.0
157147,0,0,0.0,0.0,0.0,0.0,0.0
157247,0,0,0.0,0.0,0.0,0.0,0.0
157347,0,0,0.0,0.0,0.0,0.0,0.0
157447,0,0,0.0,0.0,0.0,0.0,0.0
157547,0,0,0.0,0.0,0.0,0.0,0.0
157647,0,0,0.0,0.0,0.0,0.0,0.0
157747,0,0,0.0,0.0,0.0,0.0,0.0
157847,0,0,0.0,0.0,0.0,0.0,0.0
157947,0,0,0.0,0.0,0.0,0.0,0.0
158047,0,0,0.0,0.0,0.0,0.0,0.0
158147,0,0,0.0,0.0,0.0,0.0,0.0
158247,0,0,0.0,0.0,0.0,0.0,0.0
158347,0,0,0.0,0.0,0.0,0.0,0.0
158447,0,0,0.0,0.0,0.0,0.0,0.0
158547,0,0,0.0,0.0,0.0,0.0,0.0
158647,0,0,0.0,0.0,0.0,0.0,0.0
158747,0,0,0.0,0.0,0.0,0.0,0.0
158847,0,0,0.0,0.0,0.0,0.0,0.0
158947,0,0,0.0,0.0,0.0,0.0,0.0
159050,0,0,0.0,0.0,0.0,0.0,0.0
159149,0,0,0.0,0.0,0.0,0.0,0.0
159247,0,0,0.0,0.0,0.0,0.0,0.0
