timestamp,posCtrlIndi.accFT_x,posCtrlIndi.accFT_y,posCtrlIndi.accFT_z,posCtrlIndi.accErr_x,posCtrlIndi.accErr_y,posCtrlIndi.accErr_z
210211,0.0,0.0,0.0,0.0,0.0,0.0
210311,0.0,0.0,0.0,0.0,0.0,0.0
210411,0.0,0.0,0.0,0.0,0.0,0.0
210511,0.0,0.0,0.0,0.0,0.0,0.0
210611,0.0,0.0,0.0,0.0,0.0,0.0
210711,0.0,0.0,0.0,0.0,0.0,0.0
210811,0.0,0.0,0.0,0.0,0.0,0.0
210911,0.0,0.0,0.0,0.0,0.0,0.0
211011,0.0,0.0,0.0,0.0,0.0,0.0
211111,0.0,0.0,0.0,0.0,0.0,0.0
211211,0.0,0.0,0.0,0.0,0.0,0.0
211311,0.0,0.0,0.0,0.0,0.0,0.0
211411,0.0,0.0,0.0,0.0,0.0,0.0
211511,0.0,0.0,0.0,0.0,0.0,0.0
211611,0.0,0.0,0.0,0.0,0.0,0.0
211711,0.0,0.0,0.0,0.0,0.0,0.0
211811,0.0,0.0,0.0,0.0,0.0,0.0
211911,0.0,0.0,0.0,0.0,0.0,0.0
212011,0.0,0.0,0.0,0.0,0.0,0.0
212111,0.0,0.0,0.0,0.0,0.0,0.0
212211,0.0,0.0,0.0,0.0,0.0,0.0
212311,0.0,0.0,0.0,0.0,0.0,0.0
212411,0.0,0.0,0.0,0.0,0.0,0.0
212511,0.0,0.0,0.0,0.0,0.0,0.0
212611,0.0,0.0,0.0,0.0,0.0,0.0
212711,0.0,0.0,0.0,0.0,0.0,0.0
212811,0.0,0.0,0.0,0.0,0.0,0.0
212911,0.0,0.0,0.0,0.0,0.0,0.0
213011,0.0,0.0,0.0,0.0,0.0,0.0
213111,0.0,0.0,0.0,0.0,0.0,0.0
213211,0.0,0.0,0.0,0.0,0.0,0.0
213311,0.0,0.0,0.0,0.0,0.0,0.0
213411,0.0,0.0,0.0,0.0,0.0,0.0
213511,0.0,0.0,0.0,0.0,0.0,0.0
213611,0.0,0.0,0.0,0.0,0.0,0.0
