timestamp,oa.front,oa.back,oa.up,oa.left,oa.right
183280,0,0,0,0,0
183380,0,0,0,0,0
183480,0,0,0,0,0
183580,0,0,0,0,0
183680,0,0,0,0,0
183780,0,0,0,0,0
183880,0,0,0,0,0
183980,0,0,0,0,0
184080,0,0,0,0,0
184180,0,0,0,0,0
184280,0,0,0,0,0
184380,0,0,0,0,0
184480,0,0,0,0,0
184580,0,0,0,0,0
184680,0,0,0,0,0
184780,0,0,0,0,0
184880,0,0,0,0,0
184980,0,0,0,0,0
185080,0,0,0,0,0
185180,0,0,0,0,0
185280,0,0,0,0,0
185380,0,0,0,0,0
185480,0,0,0,0,0
185580,0,0,0,0,0
185680,0,0,0,0,0
185780,0,0,0,0,0
185880,0,0,0,0,0
185980,0,0,0,0,0
186080,0,0,0,0,0
186180,0,0,0,0,0
186280,0,0,0,0,0
186380,0,0,0,0,0
186480,0,0,0,0,0
186580,0,0,0,0,0
186680,0,0,0,0,0
186780,0,0,0,0,0
186880,0,0,0,0,0
186980,0,0,0,0,0
187080,0,0,0,0,0
187180,0,0,0,0,0
187280,0,0,0,0,0
187380,0,0,0,0,0
187480,0,0,0,0,0
187580,0,0,0,0,0
187683,0,0,0,0,0
187783,0,0,0,0,0
187883,0,0,0,0,0
187983,0,0,0,0,0
188082,0,0,0,0,0
188181,0,0,0,0,0
188280,0,0,0,0,0
188380,0,0,0,0,0
188481,0,0,0,0,0
188580,0,0,0,0,0
188680,0,0,0,0,0
188780,0,0,0,0,0
188880,0,0,0,0,0
188980,0,0,0,0,0
189080,0,0,0,0,0
189180,0,0,0,0,0
189280,0,0,0,0,0
189380,0,0,0,0,0
189480,0,0,0,0,0
189580,0,0,0,0,0
189680,0,0,0,0,0
189780,0,0,0,0,0
189880,0,0,0,0,0
189980,0,0,0,0,0
190080,0,0,0,0,0
190180,0,0,0,0,0
190280,0,0,0,0,0
190380,0,0,0,0,0
190480,0,0,0,0,0
190580,0,0,0,0,0
190680,0,0,0,0,0
190780,0,0,0,0,0
190880,0,0,0,0,0
190980,0,0,0,0,0
191080,0,0,0,0,0
191180,0,0,0,0,0
191280,0,0,0,0,0
191380,0,0,0,0,0
191480,0,0,0,0,0
191580,0,0,0,0,0
191680,0,0,0,0,0
191780,0,0,0,0,0
191880,0,0,0,0,0
191980,0,0,0,0,0
192080,0,0,0,0,0
192180,0,0,0,0,0
192280,0,0,0,0,0
192380,0,0,0,0,0
192480,0,0,0,0,0
192583,0,0,0,0,0
192680,0,0,0,0,0
192783,0,0,0,0,0
192882,0,0,0,0,0
192983,0,0,0,0,0
193081,0,0,0,0,0
193181,0,0,0,0,0
193280,0,0,0,0,0
193381,0,0,0,0,0
193481,0,0,0,0,0
193580,0,0,0,0,0
193680,0,0,0,0,0
193780,0,0,0,0,0
193880,0,0,0,0,0
193980,0,0,0,0,0
194080,0,0,0,0,0
194180,0,0,0,0,0
194280,0,0,0,0,0
194380,0,0,0,0,0
194480,0,0,0,0,0
194580,0,0,0,0,0
194680,0,0,0,0,0
194780,0,0,0,0,0
194880,0,0,0,0,0
194980,0,0,0,0,0
195080,0,0,0,0,0
195180,0,0,0,0,0
195280,0,0,0,0,0
195381,0,0,0,0,0
195481,0,0,0,0,0
195580,0,0,0,0,0
195680,0,0,0,0,0
195780,0,0,0,0,0
195880,0,0,0,0,0
195980,0,0,0,0,0
196080,0,0,0,0,0
196180,0,0,0,0,0
196280,0,0,0,0,0
196380,0,0,0,0,0
196480,0,0,0,0,0
196580,0,0,0,0,0
196680,0,0,0,0,0
196780,0,0,0,0,0
196880,0,0,0,0,0
196980,0,0,0,0,0
197080,0,0,0,0,0
197180,0,0,0,0,0
197280,0,0,0,0,0
197380,0,0,0,0,0
197480,0,0,0,0,0
197580,0,0,0,0,0
197680,0,0,0,0,0
197780,0,0,0,0,0
197880,0,0,0,0,0
197980,0,0,0,0,0
198080,0,0,0,0,0
