timestamp,extrx_raw.ch0,extrx_raw.ch1,extrx_raw.ch2,extrx_raw.ch3,extrx_raw.ch4,extrx_raw.ch5,extrx_raw.ch6,extrx_raw.ch7
153850,0,0,0,0,0,0,0,0
153950,0,0,0,0,0,0,0,0
154050,0,0,0,0,0,0,0,0
154150,0,0,0,0,0,0,0,0
154250,0,0,0,0,0,0,0,0
154350,0,0,0,0,0,0,0,0
154450,0,0,0,0,0,0,0,0
154550,0,0,0,0,0,0,0,0
154650,0,0,0,0,0,0,0,0
154750,0,0,0,0,0,0,0,0
154850,0,0,0,0,0,0,0,0
154950,0,0,0,0,0,0,0,0
155050,0,0,0,0,0,0,0,0
155150,0,0,0,0,0,0,0,0
155250,0,0,0,0,0,0,0,0
155350,0,0,0,0,0,0,0,0
155453,0,0,0,0,0,0,0,0
155553,0,0,0,0,0,0,0,0
155653,0,0,0,0,0,0,0,0
155753,0,0,0,0,0,0,0,0
155851,0,0,0,0,0,0,0,0
155951,0,0,0,0,0,0,0,0
156051,0,0,0,0,0,0,0,0
156151,0,0,0,0,0,0,0,0
156253,0,0,0,0,0,0,0,0
156353,0,0,0,0,0,0,0,0
156453,0,0,0,0,0,0,0,0
156550,0,0,0,0,0,0,0,0
156650,0,0,0,0,0,0,0,0
156750,0,0,0,0,0,0,0,0
156850,0,0,0,0,0,0,0,0
156950,0,0,0,0,0,0,0,0
157053,0,0,0,0,0,0,0,0
157153,0,0,0,0,0,0,0,0
157252,0,0,0,0,0,0,0,0
157351,0,0,0,0,0,0,0,0
157451,0,0,0,0,0,0,0,0
157551,0,0,0,0,0,0,0,0
157651,0,0,0,0,0,0,0,0
157751,0,0,0,0,0,0,0,0
157851,0,0,0,0,0,0,0,0
157951,0,0,0,0,0,0,0,0
158051,0,0,0,0,0,0,0,0
158150,0,0,0,0,0,0,0,0
158250,0,0,0,0,0,0,0,0
158350,0,0,0,0,0,0,0,0
158450,0,0,0,0,0,0,0,0
158550,0,0,0,0,0,0,0,0
158650,0,0,0,0,0,0,0,0
158750,0,0,0,0,0,0,0,0
158850,0,0,0,0,0,0,0,0
158950,0,0,0,0,0,0,0,0
159050,0,0,0,0,0,0,0,0
159150,0,0,0,0,0,0,0,0
159250,0,0,0,0,0,0,0,0
159350,0,0,0,0,0,0,0,0
159450,0,0,0,0,0,0,0,0
159550,0,0,0,0,0,0,0,0
159650,0,0,0,0,0,0,0,0
159750,0,0,0,0,0,0,0,0
159850,0,0,0,0,0,0,0,0
159950,0,0,0,0,0,0,0,0
160050,0,0,0,0,0,0,0,0
160150,0,0,0,0,0,0,0,0
160250,0,0,0,0,0,0,0,0
160350,0,0,0,0,0,0,0,0
160450,0,0,0,0,0,0,0,0
160550,0,0,0,0,0,0,0,0
160650,0,0,0,0,0,0,0,0
160750,0,0,0,0,0,0,0,0
160850,0,0,0,0,0,0,0,0
160950,0,0,0,0,0,0,0,0
161050,0,0,0,0,0,0,0,0
161150,0,0,0,0,0,0,0,0
161250,0,0,0,0,0,0,0,0
161350,0,0,0,0,0,0,0,0
161450,0,0,0,0,0,0,0,0
161550,0,0,0,0,0,0,0,0
161650,0,0,0,0,0,0,0,0
161750,0,0,0,0,0,0,0,0
161850,0,0,0,0,0,0,0,0
161950,0,0,0,0,0,0,0,0
162050,0,0,0,0,0,0,0,0
162150,0,0,0,0,0,0,0,0
162250,0,0,0,0,0,0,0,0
162350,0,0,0,0,0,0,0,0
162450,0,0,0,0,0,0,0,0
162550,0,0,0,0,0,0,0,0
162650,0,0,0,0,0,0,0,0
162750,0,0,0,0,0,0,0,0
162853,0,0,0,0,0,0,0,0
162953,0,0,0,0,0,0,0,0
163053,0,0,0,0,0,0,0,0
163153,0,0,0,0,0,0,0,0
163251,0,0,0,0,0,0,0,0
163351,0,0,0,0,0,0,0,0
163451,0,0,0,0,0,0,0,0
163551,0,0,0,0,0,0,0,0
163651,0,0,0,0,0,0,0,0
163751,0,0,0,0,0,0,0,0
163850,0,0,0,0,0,0,0,0
163950,0,0,0,0,0,0,0,0
164050,0,0,0,0,0,0,0,0
164150,0,0,0,0,0,0,0,0
