timestamp,health.motorVarXM4,health.motorVarYM4,health.motorPass,health.batterySag,health.batteryPass,health.motorTestCount
153866,0.0,0.0,0,0.0,0,0
153966,0.0,0.0,0,0.0,0,0
154066,0.0,0.0,0,0.0,0,0
154166,0.0,0.0,0,0.0,0,0
154266,0.0,0.0,0,0.0,0,0
154366,0.0,0.0,0,0.0,0,0
154466,0.0,0.0,0,0.0,0,0
154566,0.0,0.0,0,0.0,0,0
154666,0.0,0.0,0,0.0,0,0
154766,0.0,0.0,0,0.0,0,0
154866,0.0,0.0,0,0.0,0,0
154966,0.0,0.0,0,0.0,0,0
155066,0.0,0.0,0,0.0,0,0
155166,0.0,0.0,0,0.0,0,0
155266,0.0,0.0,0,0.0,0,0
155366,0.0,0.0,0,0.0,0,0
155466,0.0,0.0,0,0.0,0,0
155566,0.0,0.0,0,0.0,0,0
155666,0.0,0.0,0,0.0,0,0
155766,0.0,0.0,0,0.0,0,0
155866,0.0,0.0,0,0.0,0,0
155966,0.0,0.0,0,0.0,0,0
156066,0.0,0.0,0,0.0,0,0
156166,0.0,0.0,0,0.0,0,0
156266,0.0,0.0,0,0.0,0,0
156366,0.0,0.0,0,0.0,0,0
156466,0.0,0.0,0,0.0,0,0
156566,0.0,0.0,0,0.0,0,0
156666,0.0,0.0,0,0.0,0,0
156766,0.0,0.0,0,0.0,0,0
156866,0.0,0.0,0,0.0,0,0
156966,0.0,0.0,0,0.0,0,0
157066,0.0,0.0,0,0.0,0,0
157166,0.0,0.0,0,0.0,0,0
157266,0.0,0.0,0,0.0,0,0
157366,0.0,0.0,0,0.0,0,0
157466,0.0,0.0,0,0.0,0,0
157566,0.0,0.0,0,0.0,0,0
157666,0.0,0.0,0,0.0,0,0
157766,0.0,0.0,0,0.0,0,0
157866,0.0,0.0,0,0.0,0,0
157966,0.0,0.0,0,0.0,0,0
158066,0.0,0.0,0,0.0,0,0
158166,0.0,0.0,0,0.0,0,0
158266,0.0,0.0,0,0.0,0,0
158366,0.0,0.0,0,0.0,0,0
158466,0.0,0.0,0,0.0,0,0
158566,0.0,0.0,0,0.0,0,0
158666,0.0,0.0,0,0.0,0,0
158766,0.0,0.0,0,0.0,0,0
158866,0.0,0.0,0,0.0,0,0
158966,0.0,0.0,0,0.0,0,0
159066,0.0,0.0,0,0.0,0,0
159166,0.0,0.0,0,0.0,0,0
159266,0.0,0.0,0,0.0,0,0
159368,0.0,0.0,0,0.0,0,0
159466,0.0,0.0,0,0.0,0,0
159568,0.0,0.0,0,0.0,0,0
159668,0.0,0.0,0,0.0,0,0
159767,0.0,0.0,0,0.0,0,0
159867,0.0,0.0,0,0.0,0,0
159967,0.0,0.0,0,0.0,0,0
160067,0.0,0.0,0,0.0,0,0
160167,0.0,0.0,0,0.0,0,0
160266,0.0,0.0,0,0.0,0,0
160366,0.0,0.0,0,0.0,0,0
160466,0.0,0.0,0,0.0,0,0
160566,0.0,0.0,0,0.0,0,0
160666,0.0,0.0,0,0.0,0,0
160766,0.0,0.0,0,0.0,0,0
160866,0.0,0.0,0,0.0,0,0
160966,0.0,0.0,0,0.0,0,0
161066,0.0,0.0,0,0.0,0,0
161166,0.0,0.0,0,0.0,0,0
161266,0.0,0.0,0,0.0,0,0
161366,0.0,0.0,0,0.0,0,0
161466,0.0,0.0,0,0.0,0,0
161566,0.0,0.0,0,0.0,0,0
161666,0.0,0.0,0,0.0,0,0
161766,0.0,0.0,0,0.0,0,0
161866,0.0,0.0,0,0.0,0,0
161966,0.0,0.0,0,0.0,0,0
162066,0.0,0.0,0,0.0,0,0
162166,0.0,0.0,0,0.0,0,0
162266,0.0,0.0,0,0.0,0,0
162366,0.0,0.0,0,0.0,0,0
162466,0.0,0.0,0,0.0,0,0
162566,0.0,0.0,0,0.0,0,0
162666,0.0,0.0,0,0.0,0,0
162766,0.0,0.0,0,0.0,0,0
162866,0.0,0.0,0,0.0,0,0
162966,0.0,0.0,0,0.0,0,0
163066,0.0,0.0,0,0.0,0,0
163166,0.0,0.0,0,0.0,0,0
163266,0.0,0.0,0,0.0,0,0
163366,0.0,0.0,0,0.0,0,0
163466,0.0,0.0,0,0.0,0,0
163566,0.0,0.0,0,0.0,0,0
163666,0.0,0.0,0,0.0,0,0
163766,0.0,0.0,0,0.0,0,0
163866,0.0,0.0,0,0.0,0,0
163966,0.0,0.0,0,0.0,0,0
164066,0.0,0.0,0,0.0,0,0
