timestamp,posCtrlIndi.cmd_phi,posCtrlIndi.cmd_theta
210214,0.0,0.0
210314,0.0,0.0
210414,0.0,0.0
210514,0.0,0.0
210614,0.0,0.0
210714,0.0,0.0
210814,0.0,0.0
210914,0.0,0.0
211014,0.0,0.0
211114,0.0,0.0
211214,0.0,0.0
211314,0.0,0.0
211414,0.0,0.0
211514,0.0,0.0
211614,0.0,0.0
211714,0.0,0.0
211814,0.0,0.0
211914,0.0,0.0
212014,0.0,0.0
212114,0.0,0.0
212214,0.0,0.0
212314,0.0,0.0
212414,0.0,0.0
212514,0.0,0.0
212614,0.0,0.0
212714,0.0,0.0
212814,0.0,0.0
212914,0.0,0.0
213014,0.0,0.0
213114,0.0,0.0
213216,0.0,0.0
213317,0.0,0.0
213414,0.0,0.0
213516,0.0,0.0
213617,0.0,0.0
213716,0.0,0.0
213817,0.0,0.0
213914,0.0,0.0
214014,0.0,0.0
214114,0.0,0.0
214214,0.0,0.0
214314,0.0,0.0
214414,0.0,0.0
214517,0.0,0.0
214614,0.0,0.0
214716,0.0,0.0
214814,0.0,0.0
214916,0.0,0.0
215016,0.0,0.0
215116,0.0,0.0
215216,0.0,0.0
215315,0.0,0.0
215415,0.0,0.0
215515,0.0,0.0
215615,0.0,0.0
215715,0.0,0.0
215814,0.0,0.0
215914,0.0,0.0
216014,0.0,0.0
216114,0.0,0.0
216214,0.0,0.0
216314,0.0,0.0
216414,0.0,0.0
216514,0.0,0.0
216614,0.0,0.0
216714,0.0,0.0
216814,0.0,0.0
216914,0.0,0.0
217014,0.0,0.0
217114,0.0,0.0
217214,0.0,0.0
217314,0.0,0.0
217414,0.0,0.0
217514,0.0,0.0
217614,0.0,0.0
217714,0.0,0.0
217814,0.0,0.0
217914,0.0,0.0
218014,0.0,0.0
218114,0.0,0.0
218214,0.0,0.0
218314,0.0,0.0
218414,0.0,0.0
218514,0.0,0.0
218614,0.0,0.0
218714,0.0,0.0
218814,0.0,0.0
218914,0.0,0.0
219014,0.0,0.0
219114,0.0,0.0
219214,0.0,0.0
219314,0.0,0.0
219414,0.0,0.0
219514,0.0,0.0
219614,0.0,0.0
219714,0.0,0.0
219814,0.0,0.0
219914,0.0,0.0
220014,0.0,0.0
220114,0.0,0.0
220214,0.0,0.0
220314,0.0,0.0
220414,0.0,0.0
220516,0.0,0.0
220614,0.0,0.0
220715,0.0,0.0
220815,0.0,0.0
220915,0.0,0.0
221015,0.0,0.0
221115,0.0,0.0
221215,0.0,0.0
221315,0.0,0.0
221414,0.0,0.0
221514,0.0,0.0
221614,0.0,0.0
221714,0.0,0.0
221814,0.0,0.0
221914,0.0,0.0
222014,0.0,0.0
222114,0.0,0.0
222214,0.0,0.0
222314,0.0,0.0
222414,0.0,0.0
222514,0.0,0.0
222614,0.0,0.0
222714,0.0,0.0
222814,0.0,0.0
222914,0.0,0.0
223014,0.0,0.0
223114,0.0,0.0
223214,0.0,0.0
223314,0.0,0.0
223414,0.0,0.0
223514,0.0,0.0
223614,0.0,0.0
223714,0.0,0.0
223814,0.0,0.0
223914,0.0,0.0
224014,0.0,0.0
224114,0.0,0.0
224214,0.0,0.0
224314,0.0,0.0
224414,0.0,0.0
224514,0.0,0.0
224614,0.0,0.0
224714,0.0,0.0
224814,0.0,0.0
224914,0.0,0.0
225014,0.0,0.0
225114,0.0,0.0
225214,0.0,0.0
225314,0.0,0.0
225414,0.0,0.0
225514,0.0,0.0
225614,0.0,0.0
225714,0.0,0.0
225814,0.0,0.0
225914,0.0,0.0
226014,0.0,0.0
226114,0.0,0.0
226214,0.0,0.0
226314,0.0,0.0
226414,0.0,0.0
226514,0.0,0.0
226614,0.0,0.0
226714,0.0,0.0
226814,0.0,0.0
226914,0.0,0.0
227014,0.0,0.0
227114,0.0,0.0
227214,0.0,0.0
227314,0.0,0.0
227414,0.0,0.0
227514,0.0,0.0
227614,0.0,0.0
227714,0.0,0.0
227814,0.0,0.0
227914,0.0,0.0
228014,0.0,0.0
228114,0.0,0.0
228214,0.0,0.0
228314,0.0,0.0
228414,0.0,0.0
228514,0.0,0.0
228614,0.0,0.0
228714,0.0,0.0
228814,0.0,0.0
228914,0.0,0.0
229014,0.0,0.0
229114,0.0,0.0
229214,0.0,0.0
229314,0.0,0.0
229414,0.0,0.0
229514,0.0,0.0
229614,0.0,0.0
229714,0.0,0.0
229814,0.0,0.0
229914,0.0,0.0
230014,0.0,0.0
230116,0.0,0.0
230214,0.0,0.0
230316,0.0,0.0
230416,0.0,0.0
230516,0.0,0.0
230614,0.0,0.0
230714,0.0,0.0
230814,0.0,0.0
230916,0.0,0.0
231016,0.0,0.0
231116,0.0,0.0
231216,0.0,0.0
231315,0.0,0.0
231415,0.0,0.0
231515,0.0,0.0
231615,0.0,0.0
231714,0.0,0.0
