timestamp,ctrlMel.r_yaw,ctrlMel.accelz,ctrlMel.zdx,ctrlMel.zdy,ctrlMel.zdz,ctrlMel.i_err_x
111564,0.0,0.0,0.0,0.0,0.0,0.0
111664,0.0,0.0,0.0,0.0,0.0,0.0
111764,0.0,0.0,0.0,0.0,0.0,0.0
111864,0.0,0.0,0.0,0.0,0.0,0.0
111964,0.0,0.0,0.0,0.0,0.0,0.0
112064,0.0,0.0,0.0,0.0,0.0,0.0
112164,0.0,0.0,0.0,0.0,0.0,0.0
112264,0.0,0.0,0.0,0.0,0.0,0.0
112364,0.0,0.0,0.0,0.0,0.0,0.0
112464,0.0,0.0,0.0,0.0,0.0,0.0
112564,0.0,0.0,0.0,0.0,0.0,0.0
112664,0.0,0.0,0.0,0.0,0.0,0.0
112764,0.0,0.0,0.0,0.0,0.0,0.0
112864,0.0,0.0,0.0,0.0,0.0,0.0
112964,0.0,0.0,0.0,0.0,0.0,0.0
113064,0.0,0.0,0.0,0.0,0.0,0.0
113164,0.0,0.0,0.0,0.0,0.0,0.0
113264,0.0,0.0,0.0,0.0,0.0,0.0
113364,0.0,0.0,0.0,0.0,0.0,0.0
113464,0.0,0.0,0.0,0.0,0.0,0.0
113564,0.0,0.0,0.0,0.0,0.0,0.0
113664,0.0,0.0,0.0,0.0,0.0,0.0
113764,0.0,0.0,0.0,0.0,0.0,0.0
113864,0.0,0.0,0.0,0.0,0.0,0.0
113964,0.0,0.0,0.0,0.0,0.0,0.0
114064,0.0,0.0,0.0,0.0,0.0,0.0
114164,0.0,0.0,0.0,0.0,0.0,0.0
114264,0.0,0.0,0.0,0.0,0.0,0.0
114364,0.0,0.0,0.0,0.0,0.0,0.0
114464,0.0,0.0,0.0,0.0,0.0,0.0
114564,0.0,0.0,0.0,0.0,0.0,0.0
114664,0.0,0.0,0.0,0.0,0.0,0.0
114764,0.0,0.0,0.0,0.0,0.0,0.0
114864,0.0,0.0,0.0,0.0,0.0,0.0
114964,0.0,0.0,0.0,0.0,0.0,0.0
115064,0.0,0.0,0.0,0.0,0.0,0.0
115164,0.0,0.0,0.0,0.0,0.0,0.0
115264,0.0,0.0,0.0,0.0,0.0,0.0
115364,0.0,0.0,0.0,0.0,0.0,0.0
115466,0.0,0.0,0.0,0.0,0.0,0.0
115566,0.0,0.0,0.0,0.0,0.0,0.0
115665,0.0,0.0,0.0,0.0,0.0,0.0
115765,0.0,0.0,0.0,0.0,0.0,0.0
115865,0.0,0.0,0.0,0.0,0.0,0.0
115965,0.0,0.0,0.0,0.0,0.0,0.0
