timestamp,locSrvZ.tick
183267,0
183367,0
183467,0
183567,0
183667,0
183767,0
183867,0
183967,0
184067,0
184167,0
184267,0
184367,0
184467,0
184567,0
184667,0
184767,0
184867,0
184967,0
185067,0
185167,0
185267,0
185367,0
185467,0
185567,0
185667,0
185767,0
185867,0
185967,0
186067,0
186167,0
186267,0
186367,0
186467,0
186567,0
186667,0
186767,0
186867,0
186967,0
187067,0
187167,0
187267,0
187367,0
187467,0
187567,0
187667,0
187767,0
187867,0
187967,0
188067,0
188167,0
188267,0
188367,0
188467,0
188567,0
188667,0
188767,0
188867,0
188967,0
189067,0
189167,0
189267,0
189367,0
189467,0
189569,0
189669,0
189767,0
189867,0
189967,0
190067,0
190168,0
190267,0
190367,0
190467,0
190567,0
190667,0
190767,0
190867,0
190967,0
191067,0
191167,0
191267,0
191367,0
191467,0
191567,0
191667,0
191767,0
191867,0
191967,0
192067,0
192167,0
192267,0
192367,0
192467,0
192567,0
192667,0
192767,0
192867,0
192967,0
193067,0
193167,0
193267,0
193367,0
193467,0
193567,0
193667,0
193767,0
193867,0
193967,0
194067,0
194167,0
194267,0
194367,0
194467,0
194567,0
194667,0
194767,0
194867,0
194967,0
195067,0
195167,0
195267,0
195367,0
195467,0
195567,0
195667,0
195767,0
195867,0
195967,0
196067,0
196167,0
196267,0
196367,0
196467,0
196567,0
196667,0
196767,0
196867,0
196967,0
197067,0
197167,0
197267,0
197367,0
197467,0
197567,0
197667,0
197767,0
197870,0
197967,0
198069,0
198169,0
198269,0
198369,0
198468,0
198567,0
198667,0
198767,0
198867,0
198967,0
199067,0
199167,0
199267,0
199367,0
199467,0
199567,0
199667,0
199767,0
199867,0
199967,0
200067,0
200167,0
200267,0
200367,0
200467,0
200567,0
200667,0
200767,0
200867,0
200967,0
201067,0
201167,0
201267,0
201367,0
201467,0
201567,0
201667,0
201767,0
201867,0
201967,0
202067,0
202167,0
202267,0
202367,0
202467,0
202567,0
202667,0
202767,0
202867,0
202967,0
203067,0
203167,0
203267,0
203367,0
203467,0
203567,0
203667,0
203767,0
203867,0
203967,0
204067,0
204167,0
204267,0
204367,0
204467,0
204567,0
204667,0
204767,0
204867,0
