timestamp,twr.rangingSuccessRate0,twr.rangingPerSec0,twr.rangingSuccessRate1,twr.rangingPerSec1,twr.rangingSuccessRate2,twr.rangingPerSec2,twr.rangingSuccessRate3,twr.rangingPerSec3,twr.rangingSuccessRate4,twr.rangingPerSec4,twr.rangingSuccessRate5,twr.rangingPerSec5
308332,0,0,0,0,0,0,0,0,0,0,0,0
308432,0,0,0,0,0,0,0,0,0,0,0,0
308532,0,0,0,0,0,0,0,0,0,0,0,0
308632,0,0,0,0,0,0,0,0,0,0,0,0
308732,0,0,0,0,0,0,0,0,0,0,0,0
308832,0,0,0,0,0,0,0,0,0,0,0,0
308932,0,0,0,0,0,0,0,0,0,0,0,0
309032,0,0,0,0,0,0,0,0,0,0,0,0
309132,0,0,0,0,0,0,0,0,0,0,0,0
309232,0,0,0,0,0,0,0,0,0,0,0,0
309333,0,0,0,0,0,0,0,0,0,0,0,0
309432,0,0,0,0,0,0,0,0,0,0,0,0
309532,0,0,0,0,0,0,0,0,0,0,0,0
309632,0,0,0,0,0,0,0,0,0,0,0,0
309732,0,0,0,0,0,0,0,0,0,0,0,0
309832,0,0,0,0,0,0,0,0,0,0,0,0
309932,0,0,0,0,0,0,0,0,0,0,0,0
310032,0,0,0,0,0,0,0,0,0,0,0,0
310132,0,0,0,0,0,0,0,0,0,0,0,0
310232,0,0,0,0,0,0,0,0,0,0,0,0
310332,0,0,0,0,0,0,0,0,0,0,0,0
310432,0,0,0,0,0,0,0,0,0,0,0,0
310532,0,0,0,0,0,0,0,0,0,0,0,0
310632,0,0,0,0,0,0,0,0,0,0,0,0
310732,0,0,0,0,0,0,0,0,0,0,0,0
310832,0,0,0,0,0,0,0,0,0,0,0,0
310932,0,0,0,0,0,0,0,0,0,0,0,0
311032,0,0,0,0,0,0,0,0,0,0,0,0
311132,0,0,0,0,0,0,0,0,0,0,0,0
311232,0,0,0,0,0,0,0,0,0,0,0,0
311332,0,0,0,0,0,0,0,0,0,0,0,0
311432,0,0,0,0,0,0,0,0,0,0,0,0
311532,0,0,0,0,0,0,0,0,0,0,0,0
311632,0,0,0,0,0,0,0,0,0,0,0,0
311732,0,0,0,0,0,0,0,0,0,0,0,0
311832,0,0,0,0,0,0,0,0,0,0,0,0
311932,0,0,0,0,0,0,0,0,0,0,0,0
312032,0,0,0,0,0,0,0,0,0,0,0,0
312132,0,0,0,0,0,0,0,0,0,0,0,0
312232,0,0,0,0,0,0,0,0,0,0,0,0
312332,0,0,0,0,0,0,0,0,0,0,0,0
312432,0,0,0,0,0,0,0,0,0,0,0,0
312532,0,0,0,0,0,0,0,0,0,0,0,0
312632,0,0,0,0,0,0,0,0,0,0,0,0
312732,0,0,0,0,0,0,0,0,0,0,0,0
312832,0,0,0,0,0,0,0,0,0,0,0,0
312932,0,0,0,0,0,0,0,0,0,0,0,0
313032,0,0,0,0,0,0,0,0,0,0,0,0
313132,0,0,0,0,0,0,0,0,0,0,0,0
313232,0,0,0,0,0,0,0,0,0,0,0,0
