timestamp,posCtrlIndi.angF_roll,posCtrlIndi.angF_pitch,posCtrlIndi.angF_yaw,posCtrlIndi.accRef_x,posCtrlIndi.accRef_y,posCtrlIndi.accRef_z
218819,0.0,0.0,0.0,0.0,0.0,0.0
218919,0.0,0.0,0.0,0.0,0.0,0.0
219019,0.0,0.0,0.0,0.0,0.0,0.0
219119,0.0,0.0,0.0,0.0,0.0,0.0
219219,0.0,0.0,0.0,0.0,0.0,0.0
219319,0.0,0.0,0.0,0.0,0.0,0.0
219419,0.0,0.0,0.0,0.0,0.0,0.0
219519,0.0,0.0,0.0,0.0,0.0,0.0
219619,0.0,0.0,0.0,0.0,0.0,0.0
219719,0.0,0.0,0.0,0.0,0.0,0.0
219819,0.0,0.0,0.0,0.0,0.0,0.0
219919,0.0,0.0,0.0,0.0,0.0,0.0
220019,0.0,0.0,0.0,0.0,0.0,0.0
220119,0.0,0.0,0.0,0.0,0.0,0.0
220219,0.0,0.0,0.0,0.0,0.0,0.0
220319,0.0,0.0,0.0,0.0,0.0,0.0
220419,0.0,0.0,0.0,0.0,0.0,0.0
220519,0.0,0.0,0.0,0.0,0.0,0.0
220619,0.0,0.0,0.0,0.0,0.0,0.0
220719,0.0,0.0,0.0,0.0,0.0,0.0
220819,0.0,0.0,0.0,0.0,0.0,0.0
220919,0.0,0.0,0.0,0.0,0.0,0.0
221019,0.0,0.0,0.0,0.0,0.0,0.0
221119,0.0,0.0,0.0,0.0,0.0,0.0
221219,0.0,0.0,0.0,0.0,0.0,0.0
221319,0.0,0.0,0.0,0.0,0.0,0.0
221419,0.0,0.0,0.0,0.0,0.0,0.0
221522,0.0,0.0,0.0,0.0,0.0,0.0
221622,0.0,0.0,0.0,0.0,0.0,0.0
221722,0.0,0.0,0.0,0.0,0.0,0.0
221822,0.0,0.0,0.0,0.0,0.0,0.0
221922,0.0,0.0,0.0,0.0,0.0,0.0
222019,0.0,0.0,0.0,0.0,0.0,0.0
222119,0.0,0.0,0.0,0.0,0.0,0.0
222219,0.0,0.0,0.0,0.0,0.0,0.0
222319,0.0,0.0,0.0,0.0,0.0,0.0
222422,0.0,0.0,0.0,0.0,0.0,0.0
222521,0.0,0.0,0.0,0.0,0.0,0.0
222622,0.0,0.0,0.0,0.0,0.0,0.0
222722,0.0,0.0,0.0,0.0,0.0,0.0
222822,0.0,0.0,0.0,0.0,0.0,0.0
