timestamp,oa.front,oa.back,oa.up,oa.left,oa.right
131502,0,0,0,0,0
131602,0,0,0,0,0
131702,0,0,0,0,0
131802,0,0,0,0,0
131902,0,0,0,0,0
132002,0,0,0,0,0
132102,0,0,0,0,0
132202,0,0,0,0,0
132302,0,0,0,0,0
132402,0,0,0,0,0
132502,0,0,0,0,0
132602,0,0,0,0,0
132702,0,0,0,0,0
132802,0,0,0,0,0
132902,0,0,0,0,0
133002,0,0,0,0,0
133102,0,0,0,0,0
133202,0,0,0,0,0
133302,0,0,0,0,0
133402,0,0,0,0,0
133502,0,0,0,0,0
133602,0,0,0,0,0
133702,0,0,0,0,0
133802,0,0,0,0,0
133902,0,0,0,0,0
134002,0,0,0,0,0
134102,0,0,0,0,0
134202,0,0,0,0,0
134302,0,0,0,0,0
134402,0,0,0,0,0
134502,0,0,0,0,0
134602,0,0,0,0,0
134702,0,0,0,0,0
134802,0,0,0,0,0
134902,0,0,0,0,0
135002,0,0,0,0,0
135102,0,0,0,0,0
135202,0,0,0,0,0
135302,0,0,0,0,0
135405,0,0,0,0,0
135505,0,0,0,0,0
135604,0,0,0,0,0
135702,0,0,0,0,0
135804,0,0,0,0,0
135903,0,0,0,0,0
136003,0,0,0,0,0
136103,0,0,0,0,0
136203,0,0,0,0,0
136302,0,0,0,0,0
136402,0,0,0,0,0
136502,0,0,0,0,0
136602,0,0,0,0,0
136702,0,0,0,0,0
136802,0,0,0,0,0
136902,0,0,0,0,0
137002,0,0,0,0,0
137102,0,0,0,0,0
137202,0,0,0,0,0
137302,0,0,0,0,0
137402,0,0,0,0,0
137502,0,0,0,0,0
137602,0,0,0,0,0
137702,0,0,0,0,0
137802,0,0,0,0,0
137902,0,0,0,0,0
138002,0,0,0,0,0
138102,0,0,0,0,0
138202,0,0,0,0,0
138302,0,0,0,0,0
138402,0,0,0,0,0
138502,0,0,0,0,0
138602,0,0,0,0,0
138702,0,0,0,0,0
138802,0,0,0,0,0
138902,0,0,0,0,0
139002,0,0,0,0,0
139102,0,0,0,0,0
139202,0,0,0,0,0
139302,0,0,0,0,0
139402,0,0,0,0,0
139502,0,0,0,0,0
139602,0,0,0,0,0
139702,0,0,0,0,0
139802,0,0,0,0,0
139902,0,0,0,0,0
140002,0,0,0,0,0
140102,0,0,0,0,0
140202,0,0,0,0,0
140302,0,0,0,0,0
140402,0,0,0,0,0
140502,0,0,0,0,0
140602,0,0,0,0,0
140702,0,0,0,0,0
140802,0,0,0,0,0
140902,0,0,0,0,0
141002,0,0,0,0,0
141102,0,0,0,0,0
141202,0,0,0,0,0
141302,0,0,0,0,0
141402,0,0,0,0,0
141502,0,0,0,0,0
141602,0,0,0,0,0
141702,0,0,0,0,0
141802,0,0,0,0,0
141902,0,0,0,0,0
142002,0,0,0,0,0
142102,0,0,0,0,0
142202,0,0,0,0,0
142302,0,0,0,0,0
142402,0,0,0,0,0
142502,0,0,0,0,0
142602,0,0,0,0,0
142702,0,0,0,0,0
142802,0,0,0,0,0
142902,0,0,0,0,0
143002,0,0,0,0,0
143105,0,0,0,0,0
143204,0,0,0,0,0
143304,0,0,0,0,0
143405,0,0,0,0,0
143505,0,0,0,0,0
143604,0,0,0,0,0
143704,0,0,0,0,0
143804,0,0,0,0,0
143904,0,0,0,0,0
144003,0,0,0,0,0
144102,0,0,0,0,0
144202,0,0,0,0,0
144302,0,0,0,0,0
144402,0,0,0,0,0
144502,0,0,0,0,0
144602,0,0,0,0,0
144702,0,0,0,0,0
144802,0,0,0,0,0
144902,0,0,0,0,0
145002,0,0,0,0,0
145102,0,0,0,0,0
145202,0,0,0,0,0
145302,0,0,0,0,0
145402,0,0,0,0,0
145502,0,0,0,0,0
145602,0,0,0,0,0
145702,0,0,0,0,0
145803,0,0,0,0,0
145902,0,0,0,0,0
146002,0,0,0,0,0
146102,0,0,0,0,0
146202,0,0,0,0,0
146302,0,0,0,0,0
146402,0,0,0,0,0
146502,0,0,0,0,0
146602,0,0,0,0,0
146702,0,0,0,0,0
146802,0,0,0,0,0
146902,0,0,0,0,0
147002,0,0,0,0,0
147102,0,0,0,0,0
147202,0,0,0,0,0
147302,0,0,0,0,0
147402,0,0,0,0,0
147502,0,0,0,0,0
147602,0,0,0,0,0
147702,0,0,0,0,0
147802,0,0,0,0,0
147902,0,0,0,0,0
148002,0,0,0,0,0
148102,0,0,0,0,0
148202,0,0,0,0,0
148302,0,0,0,0,0
148402,0,0,0,0,0
148502,0,0,0,0,0
148602,0,0,0,0,0
148702,0,0,0,0,0
148802,0,0,0,0,0
148902,0,0,0,0,0
149002,0,0,0,0,0
149102,0,0,0,0,0
149202,0,0,0,0,0
149302,0,0,0,0,0
149402,0,0,0,0,0
149502,0,0,0,0,0
149602,0,0,0,0,0
149702,0,0,0,0,0
149802,0,0,0,0,0
149902,0,0,0,0,0
150002,0,0,0,0,0
150102,0,0,0,0,0
150202,0,0,0,0,0
150302,0,0,0,0,0
150402,0,0,0,0,0
150502,0,0,0,0,0
150602,0,0,0,0,0
150702,0,0,0,0,0
150802,0,0,0,0,0
150902,0,0,0,0,0
151002,0,0,0,0,0
151102,0,0,0,0,0
151202,0,0,0,0,0
151302,0,0,0,0,0
151402,0,0,0,0,0
151502,0,0,0,0,0
151602,0,0,0,0,0
151702,0,0,0,0,0
151802,0,0,0,0,0
151902,0,0,0,0,0
152002,0,0,0,0,0
152105,0,0,0,0,0
152205,0,0,0,0,0
152302,0,0,0,0,0
152405,0,0,0,0,0
152502,0,0,0,0,0
152602,0,0,0,0,0
152702,0,0,0,0,0
152802,0,0,0,0,0
152902,0,0,0,0,0
153002,0,0,0,0,0
153102,0,0,0,0,0
