timestamp,posCtrlIndi.velRef_x,posCtrlIndi.velRef_y,posCtrlIndi.velRef_z,posCtrlIndi.angS_roll,posCtrlIndi.angS_pitch,posCtrlIndi.angS_yaw
218816,0.0,0.0,0.0,0.0,0.0,0.0
218916,0.0,0.0,0.0,0.0,0.0,0.0
219016,0.0,0.0,0.0,0.0,0.0,0.0
219116,0.0,0.0,0.0,0.0,0.0,0.0
219216,0.0,0.0,0.0,0.0,0.0,0.0
219316,0.0,0.0,0.0,0.0,0.0,0.0
219416,0.0,0.0,0.0,0.0,0.0,0.0
219516,0.0,0.0,0.0,0.0,0.0,0.0
219616,0.0,0.0,0.0,0.0,0.0,0.0
219716,0.0,0.0,0.0,0.0,0.0,0.0
219816,0.0,0.0,0.0,0.0,0.0,0.0
219916,0.0,0.0,0.0,0.0,0.0,0.0
220016,0.0,0.0,0.0,0.0,0.0,0.0
220116,0.0,0.0,0.0,0.0,0.0,0.0
220216,0.0,0.0,0.0,0.0,0.0,0.0
220316,0.0,0.0,0.0,0.0,0.0,0.0
220416,0.0,0.0,0.0,0.0,0.0,0.0
220516,0.0,0.0,0.0,0.0,0.0,0.0
220618,0.0,0.0,0.0,0.0,0.0,0.0
220718,0.0,0.0,0.0,0.0,0.0,0.0
220817,0.0,0.0,0.0,0.0,0.0,0.0
220917,0.0,0.0,0.0,0.0,0.0,0.0
221017,0.0,0.0,0.0,0.0,0.0,0.0
221116,0.0,0.0,0.0,0.0,0.0,0.0
221216,0.0,0.0,0.0,0.0,0.0,0.0
221316,0.0,0.0,0.0,0.0,0.0,0.0
221416,0.0,0.0,0.0,0.0,0.0,0.0
221516,0.0,0.0,0.0,0.0,0.0,0.0
221616,0.0,0.0,0.0,0.0,0.0,0.0
221716,0.0,0.0,0.0,0.0,0.0,0.0
221816,0.0,0.0,0.0,0.0,0.0,0.0
221916,0.0,0.0,0.0,0.0,0.0,0.0
222016,0.0,0.0,0.0,0.0,0.0,0.0
222116,0.0,0.0,0.0,0.0,0.0,0.0
222216,0.0,0.0,0.0,0.0,0.0,0.0
222316,0.0,0.0,0.0,0.0,0.0,0.0
222416,0.0,0.0,0.0,0.0,0.0,0.0
222516,0.0,0.0,0.0,0.0,0.0,0.0
222616,0.0,0.0,0.0,0.0,0.0,0.0
222716,0.0,0.0,0.0,0.0,0.0,0.0
222816,0.0,0.0,0.0,0.0,0.0,0.0
222916,0.0,0.0,0.0,0.0,0.0,0.0
223016,0.0,0.0,0.0,0.0,0.0,0.0
223116,0.0,0.0,0.0,0.0,0.0,0.0
223216,0.0,0.0,0.0,0.0,0.0,0.0
223316,0.0,0.0,0.0,0.0,0.0,0.0
223416,0.0,0.0,0.0,0.0,0.0,0.0
223516,0.0,0.0,0.0,0.0,0.0,0.0
223616,0.0,0.0,0.0,0.0,0.0,0.0
223716,0.0,0.0,0.0,0.0,0.0,0.0
223816,0.0,0.0,0.0,0.0,0.0,0.0
223916,0.0,0.0,0.0,0.0,0.0,0.0
224016,0.0,0.0,0.0,0.0,0.0,0.0
224116,0.0,0.0,0.0,0.0,0.0,0.0
224216,0.0,0.0,0.0,0.0,0.0,0.0
224316,0.0,0.0,0.0,0.0,0.0,0.0
224416,0.0,0.0,0.0,0.0,0.0,0.0
224516,0.0,0.0,0.0,0.0,0.0,0.0
224616,0.0,0.0,0.0,0.0,0.0,0.0
224716,0.0,0.0,0.0,0.0,0.0,0.0
224816,0.0,0.0,0.0,0.0,0.0,0.0
224916,0.0,0.0,0.0,0.0,0.0,0.0
225016,0.0,0.0,0.0,0.0,0.0,0.0
225116,0.0,0.0,0.0,0.0,0.0,0.0
225216,0.0,0.0,0.0,0.0,0.0,0.0
225316,0.0,0.0,0.0,0.0,0.0,0.0
225416,0.0,0.0,0.0,0.0,0.0,0.0
225516,0.0,0.0,0.0,0.0,0.0,0.0
225616,0.0,0.0,0.0,0.0,0.0,0.0
225718,0.0,0.0,0.0,0.0,0.0,0.0
225818,0.0,0.0,0.0,0.0,0.0,0.0
225919,0.0,0.0,0.0,0.0,0.0,0.0
226019,0.0,0.0,0.0,0.0,0.0,0.0
