timestamp,loco.mode,loco.spiWr,loco.spiRe
131460,0,0.0,0.0
131560,0,0.0,0.0
131660,0,0.0,0.0
131760,0,0.0,0.0
131860,0,0.0,0.0
131960,0,0.0,0.0
132060,0,0.0,0.0
132160,0,0.0,0.0
132260,0,0.0,0.0
132360,0,0.0,0.0
132460,0,0.0,0.0
132560,0,0.0,0.0
132660,0,0.0,0.0
132760,0,0.0,0.0
132860,0,0.0,0.0
132960,0,0.0,0.0
133060,0,0.0,0.0
133160,0,0.0,0.0
133260,0,0.0,0.0
133360,0,0.0,0.0
133460,0,0.0,0.0
133560,0,0.0,0.0
133660,0,0.0,0.0
133760,0,0.0,0.0
133860,0,0.0,0.0
133960,0,0.0,0.0
134060,0,0.0,0.0
134160,0,0.0,0.0
134260,0,0.0,0.0
134360,0,0.0,0.0
134460,0,0.0,0.0
134560,0,0.0,0.0
134660,0,0.0,0.0
134760,0,0.0,0.0
134860,0,0.0,0.0
134960,0,0.0,0.0
135060,0,0.0,0.0
135160,0,0.0,0.0
135260,0,0.0,0.0
135360,0,0.0,0.0
135460,0,0.0,0.0
135560,0,0.0,0.0
135660,0,0.0,0.0
135760,0,0.0,0.0
135860,0,0.0,0.0
135960,0,0.0,0.0
136063,0,0.0,0.0
136163,0,0.0,0.0
136260,0,0.0,0.0
136362,0,0.0,0.0
136462,0,0.0,0.0
136561,0,0.0,0.0
136660,0,0.0,0.0
136760,0,0.0,0.0
136860,0,0.0,0.0
136960,0,0.0,0.0
137060,0,0.0,0.0
137160,0,0.0,0.0
137260,0,0.0,0.0
137360,0,0.0,0.0
137460,0,0.0,0.0
137560,0,0.0,0.0
137660,0,0.0,0.0
137760,0,0.0,0.0
137860,0,0.0,0.0
137960,0,0.0,0.0
138060,0,0.0,0.0
138160,0,0.0,0.0
138260,0,0.0,0.0
138360,0,0.0,0.0
138460,0,0.0,0.0
138560,0,0.0,0.0
138660,0,0.0,0.0
138760,0,0.0,0.0
138860,0,0.0,0.0
138960,0,0.0,0.0
139060,0,0.0,0.0
139160,0,0.0,0.0
139260,0,0.0,0.0
139360,0,0.0,0.0
139460,0,0.0,0.0
139560,0,0.0,0.0
139660,0,0.0,0.0
139760,0,0.0,0.0
139860,0,0.0,0.0
139960,0,0.0,0.0
140060,0,0.0,0.0
140160,0,0.0,0.0
140260,0,0.0,0.0
140360,0,0.0,0.0
140460,0,0.0,0.0
140560,0,0.0,0.0
140660,0,0.0,0.0
140760,0,0.0,0.0
140860,0,0.0,0.0
140960,0,0.0,0.0
141060,0,0.0,0.0
141160,0,0.0,0.0
141260,0,0.0,0.0
141360,0,0.0,0.0
141460,0,0.0,0.0
141560,0,0.0,0.0
141660,0,0.0,0.0
141760,0,0.0,0.0
141860,0,0.0,0.0
141960,0,0.0,0.0
142060,0,0.0,0.0
142160,0,0.0,0.0
142260,0,0.0,0.0
142360,0,0.0,0.0
142460,0,0.0,0.0
142560,0,0.0,0.0
142660,0,0.0,0.0
142760,0,0.0,0.0
142860,0,0.0,0.0
142960,0,0.0,0.0
143060,0,0.0,0.0
143160,0,0.0,0.0
143260,0,0.0,0.0
143360,0,0.0,0.0
143460,0,0.0,0.0
143560,0,0.0,0.0
143660,0,0.0,0.0
143760,0,0.0,0.0
143860,0,0.0,0.0
143963,0,0.0,0.0
