timestamp,locSrv.x,locSrv.y,locSrv.z,locSrv.qx,locSrv.qy,locSrv.qz
131464,0.0,0.0,0.0,0.0,0.0,0.0
131564,0.0,0.0,0.0,0.0,0.0,0.0
131664,0.0,0.0,0.0,0.0,0.0,0.0
131764,0.0,0.0,0.0,0.0,0.0,0.0
131864,0.0,0.0,0.0,0.0,0.0,0.0
131964,0.0,0.0,0.0,0.0,0.0,0.0
132064,0.0,0.0,0.0,0.0,0.0,0.0
132164,0.0,0.0,0.0,0.0,0.0,0.0
132264,0.0,0.0,0.0,0.0,0.0,0.0
132364,0.0,0.0,0.0,0.0,0.0,0.0
132464,0.0,0.0,0.0,0.0,0.0,0.0
132564,0.0,0.0,0.0,0.0,0.0,0.0
132664,0.0,0.0,0.0,0.0,0.0,0.0
132764,0.0,0.0,0.0,0.0,0.0,0.0
132864,0.0,0.0,0.0,0.0,0.0,0.0
132964,0.0,0.0,0.0,0.0,0.0,0.0
133064,0.0,0.0,0.0,0.0,0.0,0.0
133164,0.0,0.0,0.0,0.0,0.0,0.0
133264,0.0,0.0,0.0,0.0,0.0,0.0
133364,0.0,0.0,0.0,0.0,0.0,0.0
133464,0.0,0.0,0.0,0.0,0.0,0.0
133564,0.0,0.0,0.0,0.0,0.0,0.0
133664,0.0,0.0,0.0,0.0,0.0,0.0
133764,0.0,0.0,0.0,0.0,0.0,0.0
133864,0.0,0.0,0.0,0.0,0.0,0.0
133964,0.0,0.0,0.0,0.0,0.0,0.0
134064,0.0,0.0,0.0,0.0,0.0,0.0
134164,0.0,0.0,0.0,0.0,0.0,0.0
134264,0.0,0.0,0.0,0.0,0.0,0.0
134364,0.0,0.0,0.0,0.0,0.0,0.0
134464,0.0,0.0,0.0,0.0,0.0,0.0
134564,0.0,0.0,0.0,0.0,0.0,0.0
134664,0.0,0.0,0.0,0.0,0.0,0.0
134764,0.0,0.0,0.0,0.0,0.0,0.0
134867,0.0,0.0,0.0,0.0,0.0,0.0
134966,0.0,0.0,0.0,0.0,0.0,0.0
135064,0.0,0.0,0.0,0.0,0.0,0.0
135164,0.0,0.0,0.0,0.0,0.0,0.0
135265,0.0,0.0,0.0,0.0,0.0,0.0
135365,0.0,0.0,0.0,0.0,0.0,0.0
135465,0.0,0.0,0.0,0.0,0.0,0.0
135565,0.0,0.0,0.0,0.0,0.0,0.0
135664,0.0,0.0,0.0,0.0,0.0,0.0
135764,0.0,0.0,0.0,0.0,0.0,0.0
135864,0.0,0.0,0.0,0.0,0.0,0.0
135964,0.0,0.0,0.0,0.0,0.0,0.0
136064,0.0,0.0,0.0,0.0,0.0,0.0
136164,0.0,0.0,0.0,0.0,0.0,0.0
136264,0.0,0.0,0.0,0.0,0.0,0.0
136364,0.0,0.0,0.0,0.0,0.0,0.0
136464,0.0,0.0,0.0,0.0,0.0,0.0
136564,0.0,0.0,0.0,0.0,0.0,0.0
136664,0.0,0.0,0.0,0.0,0.0,0.0
136764,0.0,0.0,0.0,0.0,0.0,0.0
136864,0.0,0.0,0.0,0.0,0.0,0.0
136964,0.0,0.0,0.0,0.0,0.0,0.0
137064,0.0,0.0,0.0,0.0,0.0,0.0
137164,0.0,0.0,0.0,0.0,0.0,0.0
137264,0.0,0.0,0.0,0.0,0.0,0.0
137364,0.0,0.0,0.0,0.0,0.0,0.0
137464,0.0,0.0,0.0,0.0,0.0,0.0
137564,0.0,0.0,0.0,0.0,0.0,0.0
137664,0.0,0.0,0.0,0.0,0.0,0.0
137764,0.0,0.0,0.0,0.0,0.0,0.0
137864,0.0,0.0,0.0,0.0,0.0,0.0
137964,0.0,0.0,0.0,0.0,0.0,0.0
138064,0.0,0.0,0.0,0.0,0.0,0.0
138164,0.0,0.0,0.0,0.0,0.0,0.0
138264,0.0,0.0,0.0,0.0,0.0,0.0
138364,0.0,0.0,0.0,0.0,0.0,0.0
138464,0.0,0.0,0.0,0.0,0.0,0.0
138564,0.0,0.0,0.0,0.0,0.0,0.0
138664,0.0,0.0,0.0,0.0,0.0,0.0
138764,0.0,0.0,0.0,0.0,0.0,0.0
